Id,Text
918877538147094528,Not gonna catch @_Alvo_ tonight but most def will be there next time you back!
918877535718576128,@SenDuckworth We need to get the bodies to the morgue FASTER
918877496573120512,@nytimes Haberman blocked me after the hashtag #DoBetter I’ve never threatened her. Your need to enforce the policies you make.
918877446602215424,@ShannonSharpe You are my boy! and we’re both from Ga 😄🤘🏾 but no way GS could beat 96 bulls!!!😐Who can stop MICHAEL JORDAN?Ill wait...
918877427467718656,@WhoIsRylanChase I do know where it is 🙃
918877499362291712,Lmao what’s up with these names https://t.co/vF72Sg7ujL
918877516382724096,Want to work in #Longmont  CO? View our latest opening: https://t.co/Q6TSPO9bdw #Job #Jobs #Hiring #CareerArc
918877533352837120,Want to work at Panera Bread? We're #hiring in #ShelbyCharterTownship  MI! Click for details: https://t.co/RblZ0IKxKd #parttime #Cashier
918877516680458240,@globeandmail Like having 5 kids with 3 different women &amp; cheating on his wives? (Note pleural-wives!)
918877465157750784,@zachweinman will you be at homecoming on the 21st to give your crown away?
918877439299694593,Can you recommend anyone for this #job in #Greeneville  TN? https://t.co/cpcgorFw7G #Retail #Hiring #CareerArc
918877493830045696,FIRE HIS ASS https://t.co/qAGlll4Kpj
918877443926003713,We're #hiring! Read about our latest #job opening here: Receiver - https://t.co/ERPOBWRRkD #SupplyChain #Braintree  MA #CareerArc
918877468487860226,Interested in a #job in #DesMoines  IA? This could be a great fit: https://t.co/93sAXdbrbf #Sales #Hiring #CareerArc
918877513920770049,@globeandmail Yes  the billionaire adulterer  serial liar and bigot is a living embodiment of traditional values.
918877471868583936,Backdrop for today's #photoshoot - gorgeous! #chicagophotographer #familyphotos (@ Milton L Olive III Park) https://t.co/a0NjCgOQBm
918877529556975617,Thank you😚💜 https://t.co/bYe3I4dcWy
918877478969516032,See our latest #Walterboro  South Carolina #job and click to apply: Full Time Home Health Occupational... - https://t.co/Xvukb70uj1
918877542647521280,Lmfaoooo https://t.co/4s7yvfrVP7
918614770143645696,Kim Davis has been campaigning against gay marriage in Romania. https://t.co/X7jtyzutKQ
918877411420274688,@doyleMedown thank you! it looks better in the next couple pics I'm posting  stay tuned boo!
918877423663321088,We're #hiring! Read about our latest #job opening here: Full-Time Pro Business Customer Service - https://t.co/d90UZzOn9w #CustomerService
918877516781236225,PARBON ME BUT here is a video from when i was a service puptato learning to open fridge  cc: @darth ❤️🐶 https://t.co/BfIZneWYJB
918877486800343040,I dont know why but he just love #starbuckscoffee products! And he models them so well 😂😂😂 Oh 秋… https://t.co/dSFpRz9Zdk
918870794909966337,me: im rlly passionate abt coffee someone: oh yeah? name three different roast s
918872398094635008,@Amy_Siskind As always ... past-Trump warned us about current-Trump https://t.co/Mnm3Yk8IjK
918877487467286529,More Blount carries  more Mack Hollins  and please no more Warmack https://t.co/dZFqsusMmD
918877404994695170,What did I do to deserve such a blessing 😭@gsgeorgiapeach https://t.co/c3kC28mIro
